"Country","Variable","Sex","Variant","Year","Age","Value"
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 45-49",4166
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 50-54",8636
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 50-54",4287
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 50-54",4349
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 55-59",7635
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 55-59",3782
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 55-59",3853
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 60-64",6685
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 60-64",3304
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 60-64",3381
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 65-69",5485
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 65-69",2613
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 65-69",2872
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 70-74",3541
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 70-74",1673
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 70-74",1868
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 75-79",2216
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 75-79",1023
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 75-79",1193
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1950"," 80+",1801
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1950"," 80+",774
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1950"," 80+",1026
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 0-4",19281
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 0-4",9851
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 0-4",9430
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 5-9",17207
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 5-9",8794
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 5-9",8412
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 10-14",13963
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 10-14",7126
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 10-14",6836
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 15-19",11426
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 15-19",5741
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 15-19",5686
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 20-24",10965
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 20-24",5383
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 20-24",5582
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 25-29",12253
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 25-29",6108
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 25-29",6145
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 30-34",12888
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 30-34",6404
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 30-34",6484
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 35-39",12111
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 35-39",6025
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 35-39",6086
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 40-44",11413
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 40-44",5671
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 40-44",5743
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 45-49",10012
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 45-49",5003
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 45-49",5008
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 50-54",8961
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 50-54",4444
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 50-54",4517
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 55-59",8093
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 55-59",3940
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 55-59",4153
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 60-64",7292
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 60-64",3506
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 60-64",3786
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 65-69",5983
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 65-69",2832
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 65-69",3151
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 70-74",4236
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 70-74",1947
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 70-74",2289
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 75-79",2648
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 75-79",1192
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 75-79",1457
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1955"," 80+",2207
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1955"," 80+",922
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1955"," 80+",1285
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 0-4",20790
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 0-4",10617
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 0-4",10174
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 5-9",19306
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 5-9",9856
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 5-9",9450
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 10-14",17308
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 10-14",8838
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 10-14",8471
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 15-19",13735
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 15-19",6938
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 15-19",6797
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 20-24",11569
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 20-24",5753
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 20-24",5816
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 25-29",11487
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 25-29",5798
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 25-29",5689
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 30-34",12422
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 30-34",6191
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 30-34",6231
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 35-39",12899
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 35-39",6406
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 35-39",6493
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 40-44",11989
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 40-44",5945
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 40-44",6044
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 45-49",11279
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 45-49",5567
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 45-49",5712
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 50-54",10334
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 50-54",5062
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 50-54",5272
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 55-59",8587
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 55-59",4149
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 55-59",4438
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 60-64",7609
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 60-64",3580
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 60-64",4029
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 65-69",6417
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 65-69",2970
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 65-69",3447
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 70-74",4749
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 70-74",2143
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 70-74",2607
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 75-79",3248
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 75-79",1413
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 75-79",1835
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1960"," 80+",2633
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1960"," 80+",1052
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1960"," 80+",1582
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 0-4",19939
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 0-4",10185
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 0-4",9754
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 5-9",20922
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 5-9",10671
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 5-9",10251
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 10-14",19456
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 10-14",9928
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 10-14",9528
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 15-19",17364
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 15-19",8801
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 15-19",8563
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 20-24",13963
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 20-24",6904
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 20-24",7059
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 25-29",11841
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 25-29",5926
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 25-29",5915
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 30-34",11639
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 30-34",5894
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 30-34",5745
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 35-39",12409
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 35-39",6175
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 35-39",6234
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 40-44",12798
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 40-44",6331
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 40-44",6467
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 45-49",11779
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 45-49",5802
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 45-49",5977
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 50-54",10873
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 50-54",5334
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 50-54",5539
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 55-59",10007
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 55-59",4783
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 55-59",5224
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 60-64",7757
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 60-64",3657
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 60-64",4100
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 65-69",6730
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 65-69",3039
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 65-69",3691
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 70-74",5358
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 70-74",2321
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 70-74",3037
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 75-79",3681
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 75-79",1547
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 75-79",2133
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1965"," 80+",3171
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1965"," 80+",1210
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1965"," 80+",1961
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 0-4",17804
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 0-4",9099
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 0-4",8706
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 5-9",20460
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 5-9",10443
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 5-9",10018
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 10-14",21077
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 10-14",10751
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 10-14",10325
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 15-19",19505
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 15-19",9888
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 15-19",9617
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 20-24",16975
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 20-24",8292
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 20-24",8683
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 25-29",14119
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 25-29",7051
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 25-29",7069
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 30-34",12051
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 30-34",6041
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 30-34",6010
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 35-39",11611
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 35-39",5829
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 35-39",5782
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 40-44",12373
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 40-44",6139
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 40-44",6234
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 45-49",12605
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 45-49",6213
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 45-49",6393
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 50-54",11419
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 50-54",5583
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 50-54",5836
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 55-59",10357
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 55-59",4969
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 55-59",5388
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 60-64",9049
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 60-64",4214
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 60-64",4835
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 65-69",6995
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 65-69",3138
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 65-69",3857
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 70-74",5586
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 70-74",2350
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 70-74",3236
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 75-79",4078
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 75-79",1633
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 75-79",2445
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1970"," 80+",3828
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1970"," 80+",1381
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1970"," 80+",2447
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 0-4",16547
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 0-4",8471
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 0-4",8076
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 5-9",17965
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 5-9",9170
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 5-9",8795
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 10-14",20660
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 10-14",10547
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 10-14",10113
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 15-19",21219
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 15-19",10791
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 15-19",10428
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 20-24",19695
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 20-24",9946
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 20-24",9749
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 25-29",17641
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 25-29",8858
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 25-29",8783
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 30-34",14427
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 30-34",7217
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 30-34",7210
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 35-39",11998
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 35-39",5990
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 35-39",6008
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 40-44",11599
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 40-44",5847
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 40-44",5752
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 45-49",12156
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 45-49",6008
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 45-49",6149
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 50-54",12183
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 50-54",5943
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 50-54",6240
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 55-59",10851
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 55-59",5207
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 55-59",5644
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 60-64",9541
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 60-64",4464
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 60-64",5077
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 65-69",8229
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 65-69",3645
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 65-69",4584
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 70-74",5721
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 70-74",2411
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 70-74",3310
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 75-79",4371
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 75-79",1685
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 75-79",2686
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1975"," 80+",4636
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1975"," 80+",1578
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1975"," 80+",3058
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1980"," 0-4",16685
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1980"," 0-4",8534
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1980"," 0-4",8151
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1980"," 5-9",16776
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1980"," 5-9",8578
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1980"," 5-9",8198
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1980"," 10-14",18560
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1980"," 10-14",9479
"United States of America","Population by five-year age group and sex (thousands)","Female","Medium variant","1980"," 10-14",9082
"United States of America","Population by five-year age group and sex (thousands)","Total","Medium variant","1980"," 15-19",21220
"United States of America","Population by five-year age group and sex (thousands)","Male","Medium variant","1980"," 15-19",10786
